,0,1
681,Stifel Financial,414
682,Equifax,1500
683,Kar Auction Services,153
684,Ashland Global Holdings,393
685,Medical Mutual of Ohio,171
686,Sprague Resources,34
687,Super Micro Computer,449
688,Designer Brands,19
689,Pitney Bowes,1900
690,Applied Industrial Technologies,210
691,Pinnacle West Capital,2
692,American Equity Investment Life Holding,32
693,ServiceNow,1300
694,Twitter,1100
695,Calumet Specialty Products Partners,115
696,Steelcase,669
697,Sanderson Farms,280
698,WABCO Holdings,388
699,Clean Harbors,1100
700,Puget Energy,266
701,Scientific Games,826
702,Granite Construction,168
703,Carlyle Group,172
704,Skyworks Solutions,391
705,Aleris,89
706,Triple-S Management,16
707,Hexion,165
708,Hologic,687
709,Triumph Group,638
710,Darling Ingredients,97
711,MSC Industrial Direct,534
712,Red Hat,2100
713,Synopsys,2100
714,PolyOne,263
715,Dycom Industries,90
716,Cabot,194
717,Boyd Gaming,412
718,LSC Communications,292
719,Brown-Forman,432
720,Stericycle,1300
721,CIT Group,598
722,MDC Holdings,363
723,Hyster-Yale Materials Handling,210
724,Crane,8
725,Cinemark Holdings,1800
726,Autodesk,2600
727,Trimble,692
728,Garrett Motion,105
729,Zions Bancorp.,452
730,Regal Beloit,366
731,Service Corp. International,1100
732,Varian Medical Systems,713
733,PriceSmart,38
734,Brinker International,350
735,Digital Realty Trust,310
736,Pool,1
737,Crestwood Equity Partners,32
738,Infor,2600
739,Plexus,502
740,Teledyne Technologies,601
741,G-III Apparel Group,198
742,Scotts Miracle-Gro,570
743,Apollo Global Management,128
744,E*Trade Financial,1100
745,Toro,28
746,Southwest Gas Holdings,113
747,GMS,329
748,Cooper-Standard Holdings,322
749,Acadia Healthcare,402
750,Tetra Tech,804
751,Primoris Services,106
752,Tempur Sealy International,250
753,H&R Block,1
754,Qorvo,253
755,TRI Pointe Group,20
756,Cracker Barrel Old Country Store,4100
757,Elanco Animal Health,359
758,First Solar,413
759,AMC Networks,240
760,Xilinx,931
761,Green Plains,50
762,Columbia Sportswear,600
763,Nexstar Media Group,423
764,Southwestern Energy,189
765,Greenbrier,68
766,Presidio,435
767,Citrix Systems,3100
768,Mettler-Toledo International,532
769,Trinity Industries,359
770,Mutual of America Life Insurance,144
771,Lincoln Electric Holdings,322
772,Tailored Brands,147
773,A.O. Smith,168
774,ArcBest,242
775,GoDaddy,1700
776,SkyWest,870
777,Boston Properties,94
778,Enable Midstream Partners,71
779,Middleby,35
780,NOW,33
781,Unisys,3400
782,Visteon,814
783,Graham Holdings,16
784,Resolute Forest Products,131
785,Caleres,637
786,AGNC Investment,1
787,Hill-Rom Holdings,483
788,Moog,577
789,Legg Mason,195
790,Atmos Energy,162
791,Woodward,420
792,Palo Alto Networks,833
793,H.B. Fuller,193
794,Akamai Technologies,1800
795,Avaya Holdings,2600
796,Maximus,2100
797,PerkinElmer,648
798,Hawaiian Electric Industries,54
799,Kansas City Southern,85
800,AptarGroup,220
801,Public Storage,1300
802,Selective Insurance Group,212
803,ITT,27000
804,Donaldson,361
805,Park Hotels & Resorts,4
806,Kirby,201
807,Hawaiian Holdings,176
808,Popular,217
809,Range Resources,40
810,PC Connection,1
811,Amica Mutual Insurance,447
812,EnerSys,193
813,Helmerich & Payne,35
814,NLV Financial,5
815,Valmont Industries,250
816,PAE,27
817,Cooper Tire & Rubber,215
818,Euronet Worldwide,137
819,Zillow Group,1000
820,Atlas Air Worldwide Holdings,159
821,Energizer Holdings,295
822,Magellan Midstream Partners,52
823,Hain Celestial Group,219
824,Univision Communications,607
825,Equity Residential,687
826,Allison Transmission Holdings,181
827,Colony Capital,123
828,TTM Technologies,275
829,Clear Channel Outdoor Holdings,341
830,Guess,1600
831,Rent-A-Center,1800
832,Take-Two Interactive Software,81
833,Vishay Intertechnology,158
834,TransUnion,1100
835,Cooper,29
836,FleetCor Technologies,450
837,RH,6
838,Renewable Energy Group,62
839,BlueLinx Holdings,156
840,California Resources,118
841,TopBuild,46
842,Charles River Laboratories International,713
843,Comfort Systems USA,105
844,Verisk Analytics,394
845,ResMed,536
846,Teleflex,457
847,New Jersey Resources,31
848,New Residential Investment,2
849,Interactive Brokers Group,259
850,Zayo Group Holdings,782
851,Herman Miller,393
852,Grocery Outlet Holding,360
853,J.Crew Group,3000
854,Century Communities,145
855,Caesars Entertainment,2200
856,Catalent,6000
857,Itron,477
858,M/I Homes,2
859,Cboe Global Markets,125
860,IDEX,44
861,Belden,289
862,Curtiss-Wright,319
863,Cheesecake Factory,2900
864,Genesis Energy,71
865,GEO Group,489
866,Patterson-UTI Energy,49
867,Werner Enterprises,685
868,Ingersoll Rand,261
869,Verso,107
870,Mueller Industries,55
871,Nu Skin Enterprises,396
872,Revlon,417
873,Arista Networks,561
874,IDEXX Laboratories,752
875,Align Technology,641
876,Waters,8
877,Synovus Financial,338
